,keys,value
510,hit,"{'135, 8': ""The bat doesn't hurt itself by hitting the objects.""}"
511,hold,"{'1025, 2': 'Remove the nuts that hold the wheel to the bike.', '1078, 2': 'The hydrogen bonds that hold together a strand of DNA are broken.', '1096, 5': 'The gravity of the star can no longer hold the outside layers.', '1131, 4': 'They use a sticky, glue-like substance called propolis as a binding to hold their hives together.', '1151, 1': 'A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.', '433, 5': 'Pour some water on the seed and hold.', '539, 2': 'The cells of the lung hold the air.', '695, 4': 'Precipitation occurs when so much water has condensed that the air cannot hold it anymore.', '697, 4': 'The clouds reach a point where they cannot hold any more water.', '702, 4': 'Through the suns light the gases hold in heat and energy.', '743, 2': 'Their feet slip into little grooves that hold pollen sacs.'}"
512,holding,"{'249, 1': 'Chemical reactions break down the bonds holding the rocks together.'}"
513,house,"{'1130, 6': ""The bees will house nectar, honey and pollen within the honeycomb's cells.""}"
514,hunt,"{'1137, 1': 'Owls hunt around their hunting territory away from where they roost during the day.'}"
515,hurt,"{'135, 8': ""The bat doesn't hurt itself by hitting the objects.""}"
516,hurt,"{'494, 9': 'The animal is able to survive not eating or drinking without hurting itself.'}"
517,hurt,"{'1144, 5': 'Waters warm up which hurts the fish swimming in them.'}"
518,ignite,"{'609, 4': 'When the piston reaches the top of its stroke, the spark plug emits a spark to ignite the gasoline.'}"
519,ignite,"{'1028, 6': 'The burner is ignited in the combustion chamber.', '1030, 5': 'The fuel/air mixture is then injected into the burner where it is ignited in the combustion chamber.'}"
520,ignite,"{'1208, 4': 'Spark plug emits a spark that ignites it causing combustion.', '503, 4': 'The spark ignites the gas.', '610, 5': 'A spark ignites the fuel and air inside the cylinder.'}"
521,impact,"{'1189, 5': 'The angle the meteorite hits can impact how large the crater is.'}"
522,implant,"{'644, 2': 'The sperm implants itself into the egg.', '645, 3': 'The zygote implants in the uterus.'}"
523,include,"{'784, 5': 'The seeds are included in the waste.'}"
524,include,"{'908, 2': 'As water expands it puts great pressure on the walls of anything containing it, including any rocks which happen to be surrounding it.'}"
525,incorporate,"{'263, 9': 'The recycled materials are incorporated into new products.'}"
526,increase,"{'671, 2': 'The heat causes the molecules in the liquid to increase in energy.', '893, 1': 'Blood sugar levels increase after a meal.'}"
527,increase,"{'68, 7': 'With the heat caused by increased burial peat slowly became coal.'}"
528,increase,"{'4, 6': 'Heat increases.', '683, 1': ""The body's temperature increases over 98.6 degrees F."", '703, 5': 'The temperature of the earth increases.', '726, 7': 'Pressure increases on the skeleton from the weight of more mud.'}"
529,increase,"{'1240, 4': 'The compressor compresses the gas, increasing the pressure.', '478, 6': 'Human activities such as burning fuel are increasing the amount of greenhouses gases.', '671, 4': 'As the molecules are moving faster they are increasing in temperature.'}"
530,incubate,"{'518, 2': 'The eggs incubate for a few weeks or months before hatching.', '523, 2': 'The parent(s) incubate the eggs.'}"
531,incubate,"{'522, 3': 'The eggs are incubated by the parents, by sitting on them, for weeks.'}"
532,indicate,"{'411, 5': 'The neurons in these two retinal layers exhibit complex receptive fields that enable them to detect contrast changes within an image; these changes might indicate edges or shadows.'}"
533,indicate,"{'484, 8': 'Raise the flag on your mailbox, indicating to the mailman that you have outgoing mail.'}"
534,induct,"{'1208, 2': 'Mix gets inducted into cylinder.'}"
535,infect,"{'381, 8': 'The new viruses can infect more cells.', '830, 7': 'The copies infect other cells to make more viruses, or they escape from the body and infect a new victim.', '834, 6': 'Infect other cells.'}"
536,infect,"{'1099, 6': 'The antibodies are ready to fight the disease if the person is infected with the disease.', '298, 1': 'Someone is infected with bacteria.'}"
537,inflate,"{'539, 4': 'They inflate and all the bad air leaves through the mouth.'}"
538,inhale,"{'141, 1': 'You inhale.', '257, 1': 'You inhale air through your nose and mouth.', '924, 1': 'You inhale.'}"
539,initiate,"{'1078, 1': 'DNA replication is initiated by proteins.'}"
540,inject,"{'1028, 5': 'The oil/air combination is injected into the burner.', '1030, 5': 'The fuel/air mixture is then injected into the burner where it is ignited in the combustion chamber.', '509, 1': 'Fuel is injected into the chamber.', '509, 9': 'New fuel is injected.'}"
541,insert,"{'1005, 3': 'You insert the tray into a freezer.', '485, 4': 'Insert in an envelope.'}"
542,insert,"{'1015, 8': 'When a toothpick inserted into the cake comes out clean, the cake is done baking.'}"
543,instruct,"{'207, 3': 'The filaments move when the brain instructs them to.'}"
544,interact,"{'313, 1': 'Particles in the environment interact with rocks.', '582, 5': 'Winds are directed in a certain way because of how the masses interact.'}"
545,interact,"{'280, 4': 'This magnetic field in the wire interacts with certain particles in the central metal part.'}"
546,interlock,"{'225, 7': 'Two threads interlock around the fabric.'}"
547,interpret,"{'903, 5': 'The resulting information is interpreted by the brain as an image.'}"
548,introduce,"{'842, 3': 'An electric current gets introduced from power source.', '933, 1': 'Water is introduced to carbon dioxide.'}"
549,be,"{'1073, 1': 'There is a rain cloud in the sky.', '1146, 4': 'There is no longer energy to keep the star from collapsing.', '1156, 5': 'The result is that crude oil forms.', '1167, 2': 'There is a lot of pressure on the Sun.', '290, 8': 'Eventually there is nothing living in the water and it is unusable.', '524, 1': 'There is a fetus in the womb.', '58, 1': 'There is a lot of rain or a dam breaks.', '584, 6': 'When there is enough moisture in the clouds it starts to rain.', '70, 1': 'There is a lot of rain.', '927, 1': 'There is a lot of rain within a short period of time.', '99, 5': ""On the other side of the mountains or rain, there isn't much rain.""}"
550,join,"{'1066, 6': 'They join with Mycelium.', '67, 5': 'The dead plants join together forming peat.', '877, 5': 'The bouncing droplets join together.', '877, 8': 'As they fall, they join with more moisture in the air.'}"
551,join,"{'1152, 6': 'The proton joins the nucleus of the atom.', '996, 7': 'Water vapor joins the atmosphere.'}"
552,keep,"{'1146, 4': 'There is no longer energy to keep the star from collapsing.', '301, 3': 'Keep pushing with your dominate leg.', '321, 5': 'Irrigation is set up to keep the crops properly watered.', '416, 2': 'Cells in the clot keep foreign objects out.', '435, 4': 'You keep the area free of pests and weeds while the plants grow.', '632, 3': 'Electricity turns the fan to keep the components cool.'}"
553,keeping,"{'465, 4': 'The winds are strong enough from keeping it from falling back to earth.'}"
554,keep,"{'1127, 4': 'The warm air keeps rising and forms clouds.', '463, 4': 'The tiny ice particle keeps moving up and down, gathering more ice on the surface.', '67, 8': 'The peat keeps carbon while eliminating other elements.', '916, 7': 'The sediment keeps moving around the world in convection currents.'}"
555,keep,"{'615, 3': 'Volume of water in blood is kept constant.', '615, 4': 'PH is kept at a constant level.'}"
556,kill,"{'364, 2': 'Chemicals from the acid rain kill plants and trees.', '364, 4': 'The chemicals kill fish.', '364, 5': 'The chemicals kill animals that drink the water.', '607, 5': 'PH in soil and water gets affected which can kill plants and animals.', '693, 8': 'This rain is called acid rain and can damage forests and kill fish.'}"
557,kill,"{'382, 4': 'Cells are killed.'}"
558,kill,"{'366, 3': 'Kills fish.', '366, 4': 'Kills the soils in trees.'}"
559,knock,"{'1148, 9': 'When a photon of sunlight knocks an electron free, the electric field will push that electron out of the silicon junction.', '1150, 6': 'Energy from sunlight knocks electrons loose in both fields.'}"
560,know,"{'1096, 8': 'This inner core is known as a white dwarf.', '1155, 3': 'The resulting heat and pressure transforms the organic layer into a dark and waxy substance known as kerogen.', '1218, 6': 'The ecosystem known as a forest is made.', '1314, 7': 'A dead or dying tree is known as a snag.', '5, 8': 'Is known as oil.', '76, 3': 'The rocks become known as sediment.', '775, 4': ""When magma erupts onto Earth's surface, it is known as lava.""}"
561,know,"{'135, 7': 'The bat knows where the objects are because of where the sound echoed from.'}"
562,lay,"{'589, 2': 'ITS LAID ON A LEAF OR PLANT.', '635, 1': 'An egg is laid by a mother bird.'}"
563,land,"{'444, 1': 'Bees land on flowers to gather nectar.', '444, 4': 'The bees land on other flowers.', '744, 1': 'Bees land on flowers and eat the nectar of the plants.'}"
564,land,"{'1273, 2': 'An insect ot bird lands on the plant.', '743, 1': 'A bee lands on the flower.', '743, 4': 'The bee lands on another plant.', '867, 2': 'The spore lands on a piece of bread.'}"
565,last,"{'48, 5': 'The eruption lasts for a long time for some eruptions.'}"
566,launch,"{'1063, 7': 'The rocket is launched into space.'}"
567,lay,"{'519, 9': 'The adult fish can lay more eggs.', '636, 7': 'The birds lay eggs.', '642, 1': 'Frogs lay thousands of eggs.', '782, 5': 'The animals move and lay down on the ground.'}"
568,lay,"{'515, 1': 'A frog lays eggs in the water.', '518, 1': 'An adult fish lays eggs.', '520, 1': 'A female fish lays eggs.', '520, 7': 'The female fish lays eggs.', '522, 2': 'The female lays eggs.', '523, 1': 'A bird lays eggs in a nest.', '587, 10': 'The adult butterfly lays more eggs.', '588, 1': 'A butterfly lays an egg.', '588, 9': 'The female butterfly lays eggs.', '636, 1': 'A bird lays an egg.', '640, 1': 'Fish lays eggs.'}"
569,leach,"{'607, 1': 'Acid rain leaches aluminum from clay particles in soil.'}"
570,learn,"{'523, 6': 'The young birds learn to fly and leave the nest.', '526, 4': 'Children learn skills.', '637, 5': 'Begins to learn how to fly.'}"
571,learning,"{'522, 8': 'After learning to fly they leave the nest to live on their own.'}"
572,leave,"{'515, 6': 'The frogs leave the water.', '522, 8': 'After learning to fly they leave the nest to live on their own.', '523, 6': 'The young birds learn to fly and leave the nest.', '635, 8': 'The bird is able to leave the nest and find food.', '807, 4': 'Leave the tray in the freezer for a few hours.', '834, 5': 'The new copies of the virus leave the cell.'}"
573,leave,"{'1094, 7': 'The star leaves behind the core which becomes a dwarf star.', '112, 7': 'Oxygen leaves the leaf through the stomates.', '112, 8': 'Water is reused or it leaves the leaf.', '1138, 1': 'An owl leaves his nest.', '1190, 9': 'Blood leaves the heart via the aorta to the rest of the body.', '1266, 4': 'Leaves, mud and spider webs are added to the sticks.', '165, 1': 'Food leaves the esophagus and enters the stomach.', '251, 5': 'The bark leaves a ring.', '316, 4': 'When rain evaporates it leaves the wood.', '388, 6': 'The water leaves the dam at the bottom.', '550, 5': 'The blood leaves the liver cleaned.', '609, 6': 'Once the piston hits the bottom of its stroke, the exhaust valve opens and the exhaust leaves the cylinder to go out the tailpipe.', '616, 6': 'The urine leaves the kidney and is collected in the bladder.', '637, 7': 'The bird leaves its nest.', '683, 5': 'The sweat leaves the skin through pores.', '695, 2': 'The water vapor or steam leaves the river, lake or ocean and goes into the air.', '716, 5': 'The urine leaves the kidneys.', '770, 7': 'Blood leaves the lungs as it travels through the body.', '826, 5': 'The electricity leaves the station.', '896, 6': 'Blood leaves the heart through the pulmonic valve, into the pulmonary artery and to the lungs.'}"
574,leave,"{'1046, 6': 'Repeat leaving enough space for water to reach all items.', '37, 3': 'Soft tissues quickly decompose leaving behind hard bones or shells.', '671, 7': 'When all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind.', '675, 3': 'The remains decompose, leaving only trace amounts.', '725, 2': 'Soft tissues quickly decompose leaving the hard bones or shells behind.', '725, 5': 'Alternatively the bones may completely decay leaving a cast of the organism.'}"
575,leave,"{'1033, 6': 'A mold is left in the mud where the skeleton was.', '1095, 7': 'Only the core is left.', '1155, 4': 'Left alone, the kerogen molecules eventually crack.', '1190, 7': 'Oxygenated blood enters the left atrium.', '1295, 7': 'Salt is left behind in the original pot.', '310, 5': 'Blood returns to left side of your heart.', '316, 10': 'It eventually will have no paint left.', '468, 6': 'The salt particles are left behind in the first container.', '472, 3': 'The bones are left behind.', '472, 6': 'The bones left behind will weather and become buried by sand and soil.', '666, 3': 'The salt is left behind.', '725, 6': 'He void left behind may then fill with minerals making a stone replica of the organism.', '727, 4': 'The bones are left behind.', '731, 5': 'A dry ravine is left.', '795, 5': 'Oxygen is left and carbon dioxide is picked up.', '936, 5': 'Some sediment is left as sand.'}"
576,let,"{'1014, 6': 'Let the cake cool.', '545, 3': 'A processing moment in the kidneys let waste and fluid pass.', '608, 2': 'Air is let into the engine at the same time as the fuel.', '609, 1': 'The piston starts at the top, the intake valve opens, and the piston moves down to let the engine take in a cylinder-full of air and gasoline.'}"
577,lift,"{'152, 2': 'Water vapor is lifted up.', '152, 3': 'Lifted vapor cools below dew point.'}"
578,like,"{'1151, 2': 'Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.'}"
579,line,"{'1169, 3': 'In metaphase the chromosomes line up across the center of the cell and become connected to the spindle fiber at their centromere.', '1170, 3': 'Metaphase, the chromosomes line up in the center.'}"
580,line,"{'1066, 1': 'A mushroom gives off gills lined with basidia.'}"
581,link,"{'1148, 3': 'Many cells linked together make up a solar panel.'}"
582,liquefy,"{'1154, 4': 'The remains liquefy.'}"
583,light,"{'1029, 5': 'The oil is lit on fire, and burns for a long time.'}"
584,live,"{'516, 2': 'These eggs hatch into tadpoles and continue to live in the water.', '517, 8': 'The tadpole can live on land as a frog.', '522, 8': 'After learning to fly they leave the nest to live on their own.'}"
585,life,"{'1310, 5': 'Squirrel lives off of its excess body fat.', '726, 1': 'An animal lives a happy life.'}"
586,living,"{'1144, 2': 'The animals living in the forest have fewer places to hide.', '1156, 1': 'Living organisms in the sea die.', '290, 8': 'Eventually there is nothing living in the water and it is unusable.', '429, 3': 'Nitrogen is now usable by living things.', '460, 1': 'Living things have carbon in them.', '460, 2': 'Living things die.', '460, 4': 'More physical pressure is put on the remains of living things as they become further underground.', '996, 3': 'Living things produce waste.'}"
587,load,"{'1063, 6': 'The satellite capsule is loaded onto a rocket.', '423, 6': 'The coal is loaded onto a truck.', '425, 4': 'The gas made from the refining is loaded onto tank trucks.', '565, 1': 'Coal is loaded into the firebox.', '872, 6': 'Barrels are loaded on trucks.', '873, 4': 'The gasoline is loaded onto tank trucks.'}"
588,locate,"{'1137, 3': 'They use their highly sensitive hearing to locate prey that cannot be seen.', '1138, 5': 'The owls sensitive hearing allows him to locate hidden prey.'}"
589,locate,"{'31, 1': 'Limestone is located under the soil.', '742, 6': 'The bat can figure out where the object is located.'}"
590,lock,"{'830, 2': 'The receptors will lock onto a target cell using these chemical receptors on the surface, which docks onto the cell surface.', '834, 2': 'The virus has receptors that lock onto a target cell.'}"
591,look,"{'11, 9': 'Rocks and the beach look a little different.', '1136, 2': 'Owls sit at high points in trees and look around.', '316, 7': 'It begins to look bad.'}"
592,look,"{'253, 1': 'Plants make the seeds smell good, be attractive looking, and taste good.'}"
593,look,"{'1138, 3': 'The owl looks down at the ground.', '516, 7': 'The tadpole now looks like a young frog.'}"
594,loop,"{'225, 6': 'The hook loops the thread around another thread.'}"
595,loose,"{'690, 2': 'The farmer tills the soil to loosen it.'}"
596,lose,"{'1143, 3': 'The animals lose their homes.', '1169, 5': 'During telophase the chromosomes gather at opposite ends of the cell and lose their distinct rod-like shapes.', '13, 3': 'Clouds lose these droplets through rain or snow, also caused precipitation.', '13, 6': 'Plants lose water from their surfaces as vapor.', '316, 6': ""The wood begins to lose it's luster.""}"
597,lose,"{'1153, 5': 'The isotope loses some atomic particles.', '48, 6': 'The volcano loses the built up pressure.', '494, 8': 'The animal loses weight more slowly than usual.', '641, 3': 'The tadpole loses its tail.', '643, 4': 'The tadpole loses its tail.', '658, 3': 'The carterpillar molts (loses its skin) many times as it grows.', '739, 4': 'The animal loses seeds from the fur in other locations.'}"
598,lower,"{'552, 5': 'The pancreas releases one hormone to lower the blood sugar (glucose) level.'}"
599,make,"{'1049, 1': 'Water comes into contact with something made of iron.', '112, 4': ""Energy in the form of ATP is made from the sun's energy."", '1148, 4': 'Each photovoltaic cell is basically a sandwich made up of two slices of semi-conducting material, usually silicon : .', '1204, 1': 'MRNA is made during the first step of protein synthesis, which is transcription.', '1218, 6': 'The ecosystem known as a forest is made.', '159, 7': 'The molten aluminum is made into large blocks called ingots.', '159, 9': 'The rolls are ready to be made into new aluminum products.', '377, 5': 'Red blood cells are made of hemoglobin.', '384, 1': 'Contact is made with a virus.', '401, 1': 'Solar panels are made up of two types of silicon.', '425, 4': 'The gas made from the refining is loaded onto tank trucks.', '430, 1': 'Trash is made during household activities.', '574, 1': 'An airline reservation is made.', '699, 7': 'The aluminum is made into large blocks called ingots.', '699, 9': 'The rolled out product is made into new aluminum products.', '716, 2': 'The kidneys are made up of filtering units called nephrons.', '746, 1': 'Some of the rock in the ground is made of limestone.', '791, 2': 'Photovoltaic cell is made from silicon.', '882, 4': 'The items are sorted by what they are made of.'}"
600,magnetize,"{'280, 5': 'The piece of metal becomes magnetized.', '842, 6': 'And the metal gets magnetized.'}"
601,magnetizing,"{'844, 4': 'The electrical current creates a magnetic field around the wire, magnetizing the metal.'}"
602,mail,"{'485, 8': 'Mail the letter.'}"
603,mail,"{'483, 7': 'The letter is mailed.'}"
604,maintain,"{'615, 7': 'Calcium levels are maintained.'}"
605,maintain,"{'1128, 1': 'A hurricane usually starts as an organized thunderstorm activity that stretches at least 100 miles across and maintains its identity for more than 24 hours.'}"
606,make,"{'1014, 2': 'Mix the flour, sugar, egg, and water to make batter.', '1061, 3': 'You make preparations for the rocket that will travel into space.', '1087, 5': 'Make a campfire.', '112, 9': 'The sugars can be used by the plant to make cellulose.', '1131, 2': 'Then while gathering of their food, they make wax, which is the building block of their bee hive.', '1131, 3': 'Bees make food called honey.', '1148, 3': 'Many cells linked together make up a solar panel.', '1333, 6': 'Microwaves make the molecules in the food move more quickly.', '157, 6': 'The ingots are transported to another facility and rolled out to make them easier to manipulate.', '253, 1': 'Plants make the seeds smell good, be attractive looking, and taste good.', '264, 7': 'The bales are shipped to manufacturers to use to make products.', '298, 3': 'The dividing bacteria begin to make toxins.', '394, 2': 'Water is boiled to make steam.', '401, 5': 'The ""jump"" between the two halves can be used to make direct current.', '429, 6': 'Animals make waste.', '52, 8': 'The seismic waves make the earth shake.', '533, 5': 'It reaches maturity, this make take many years depending on the type of tree.', '600, 6': 'The gears make the wheels roll.', '616, 5': 'The waste is combined with water to make urine.', '683, 4': 'The sweat glands start combining water and chemicals to make sweat.', '825, 9': 'The generators make electricity.', '830, 5': 'The receptors take it over and make it produce thousands or in some cases millions of copies of new viruses.', '830, 7': 'The copies infect other cells to make more viruses, or they escape from the body and infect a new victim.', '834, 4': 'The virus uses the cell like a factory to make new copies of the virus.', '882, 6': 'The small parts are melted to make new raw parts.', '882, 7': 'The raw parts are sold to manufactures to make new items.', '905, 1': 'The saliva breaks down the chemicals in the food a bit, which helps make the food mushy and easy to swallow.'}"
607,make,"{'1059, 4': 'The forced water makes paddles spin like a sprinkler.', '1080, 7': 'The force of the steam makes the mechanism turn.', '1265, 3': 'The bird makes a flat base with twigs.', '1265, 4': 'The bird makes sides with twigs and other things.', '135, 2': 'The bat makes sounds with their mouth or nose.', '225, 1': 'Electricity from the battery makes the machine needle move.', '365, 1': 'Acid rain makes waters acidic.', '366, 2': 'Makes water acidic.', '394, 5': 'Makes electricity.', '413, 1': 'Something makes a sound and makes sound waves.', '422, 7': 'The generator makes electricity.', '45, 5': 'Gravity makes the drops fall.', '472, 10': 'This makes discovery of the fossil possible.', '543, 5': 'As each kidney makes urine, the urine slides down a long tube called the ureter.', '609, 3': 'Compression makes the explosion more powerful.', '637, 8': 'The bird makes its own nest.', '817, 4': 'The motor makes the needle of the sewing machine go up and down.', '978, 6': 'The sulfuric acid makes the rain acidic.'}"
608,make,"{'1130, 5': 'The chewed up wax is steadily added, making the hive bigger and bigger.', '1204, 4': 'The next step in making a protein is called translation.', '661, 1': 'Fixation is the first step in the process of making nitrogen usable by plants. Here bacteria change nitrogen into ammonium.', '725, 6': 'He void left behind may then fill with minerals making a stone replica of the organism.'}"
609,manage,"{'529, 4': 'Larger and stronger rabbit do manage to survive.'}"
610,manipulate,"{'157, 6': 'The ingots are transported to another facility and rolled out to make them easier to manipulate.'}"
611,marry,"{'644, 9': 'The person gets a career, and gets married.'}"
612,match,"{'1078, 5': 'Once all the bases are matched, the new DNA strand is formed.'}"
613,mate,"{'523, 7': 'The adult birds find mates and mate.', '652, 1': 'Adult rabbits mate.', '652, 5': 'The new adults mate with other rabbits.'}"
614,mature,"{'1084, 7': 'Pumpkins mature 85-125 days after planting.'}"
615,mature,"{'519, 4': 'The larvae matures and grows.', '588, 2': 'A larvae matures inside of the egg.', '637, 6': 'The bird matures.', '649, 4': 'The plant will grow larger until it matures.', '654, 5': 'The tree matures.'}"
616,mean,"{'1148, 2': 'Photovoltaic simply means they convert sunlight into electricity.).'}"
617,measure,"{'1294, 4': 'Ground coffee is measured into the filter.'}"
618,meet,"{'1066, 5': 'Multiple Hyphae meet and converge.', '521, 1': 'Two birds meet each other.', '582, 3': 'The air masses meet.', '645, 1': ""A sperm and egg meet inside a woman's fallopian tube.""}"
619,meet,"{'644, 1': 'A sperm meets an egg in the uterus of a woman.', '644, 8': 'The person meets other people and has a life.'}"
620,melt,"{'158, 4': 'The cans are heated to 1400 degrees to melt them.', '35, 1': 'Different kinds of rocks melt into magma.', '446, 6': 'The metaphoric rocks melt becoming magma again.', '448, 7': 'Metamorphic rocks underground melt to become magma.', '449, 7': 'The metamorphic rocks melt.', '775, 1': 'There are places inside Earth where rock will melt.'}"
621,melt,"{'1291, 2': 'Mix in milk, eggs, and melted butter.', '157, 4': 'The aluminum is melted down to remove coatings and inks.', '157, 5': 'The melted aluminum is formed into large formations called ingots.', '698, 3': 'Melted down along with other cans.', '698, 4': 'The melted metal is turned into bars.', '708, 5': 'When sediment is buried it then gets melted.', '708, 8': 'Buried metamorphic rock gets melted.', '708, 9': 'Melted rock eventually cools.', '775, 2': 'Melted rock inside the Earth is also called molten rock, or magma.', '882, 6': 'The small parts are melted to make new raw parts.'}"
622,melt,"{'703, 6': 'The temperature continues to rise and melts the polar ice caps.', '922, 1': ""Magma is formed when rock melts inside the Earth's crust.""}"
623,migrate,"{'1008, 2': 'Bacteria from the ground migrate to the plant material.'}"
624,mine,"{'960, 1': 'Coal is mined out of the ground.'}"
625,missing,"{'316, 8': 'It has pieces of paint missing from the rain.'}"
626,mix,"{'1014, 2': 'Mix the flour, sugar, egg, and water to make batter.', '113, 5': 'Light, water and minerals, and the carbon dioxide all mix together.', '1290, 1': 'Mix pancake mix with water.', '1291, 3': 'Mix until smooth.', '458, 3': 'Chemical compounds mix with elements in clouds.', '961, 3': 'The coal particles mix with hot air and move in to a boiler.'}"
627,mix,"{'1028, 4': 'The oil becomes a fine mist mixed with air.', '1030, 4': 'Here the oil becomes a fine mist mixed with air.', '392, 2': 'The coal powder is mixed with hot air and blown into the firebox of the boiler.', '490, 2': 'Food is chewed and mixed with saliva (spit).', '823, 1': 'Coal is mixed with hot air in a power station.', '960, 3': 'The coal is mixed with hot air.'}"
628,mix,"{'1197, 2': 'Food mixes with saliva.', '1208, 1': 'Fuel mixes with air.', '212, 3': 'Water vapor forms clouds as it mixes with dust and impurities.', '489, 3': 'Saliva mixes with the food and starts breaking it down.', '489, 6': 'Grinds and mixes the food.', '852, 2': 'The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.'}"
629,mixing,"{'1155, 1': 'Dead organic material accumulates on the bottom of oceans, riverbeds or swamps, mixing with mud and sand.'}"
630,mold,"{'1132, 6': 'The bees mold the wax into hexagonal (six sided) cylinders.'}"
631,molt,"{'658, 3': 'The carterpillar molts (loses its skin) many times as it grows.'}"
632,move,"{'1055, 2': 'Water and nutrients move from the soil into the root structure.', '1105, 5': ""Some parts of the earth's crust move up high above the ground."", '1169, 1': 'Prophase is the first and longest stage of mitosis. In this stage the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.', '1169, 2': 'In prophase the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.', '1170, 2': 'Centrioles separate to move to opposite poles.', '1207, 3': 'Proliferation and migration is when cells move in a certain orderto been to heel and to further contract blood vessels. and.', '1250, 2': 'Sound waves move parts inside the receiver.', '1333, 6': 'Microwaves make the molecules in the food move more quickly.', '206, 5': 'When the muscle relaxes the bones move farther apart.', '207, 3': 'The filaments move when the brain instructs them to.', '41, 10': 'The seismic waves move the earth in an earthquake.', '413, 5': 'Vibrations from the eardrum cause very small bones in the inner ear to move.', '472, 4': 'Scavengers tear the body apart and move the bones elsewhere.', '50, 3': 'Particles inside the magma move closer together.', '503, 7': 'The motion of several pistons move the crankshaft.', '503, 8': 'Different parts of the car cause the motion in the crankshaft to cause the wheels to move.', '503, 9': ""The wheels and the car's body can move."", '563, 6': 'The piston causes the crankshaft to move.', '626, 5': 'Insulin is produced to move glucose from the blood.', '671, 3': 'As the molecules absorb more energy, they start to move faster.', '782, 5': 'The animals move and lay down on the ground.', '915, 5': 'And the force of gravity acts to move the particles along the sloping surface on which they are resting.', '917, 3': ""The earth's plates move."", '917, 5': 'The seismic waves shake the earth as they move through it.', '919, 1': ""Plates on the Earth's crust move slowly past each other."", '919, 2': 'As the plates move, they exert a great force.', '921, 2': 'The pressure causes plates to move.', '961, 3': 'The coal particles mix with hot air and move in to a boiler.'}"
633,move,"{'1080, 4': 'The coal is moved into a boiler along with hot air.', '140, 3': 'The oxygen is moved into the bloodstream.', '423, 5': 'The coal is moved up to the surface.', '630, 2': 'The trash is moved to a centralized container for the house.', '758, 4': 'Electrical energy will be channeled and moved.', '916, 5': 'As the river flows the sediment is moved.', '925, 2': 'Once in the lungs, oxygen is moved into the bloodstream and carried through your body.'}"
634,move,"{'1197, 5': 'The food moves to the small intestine.', '1204, 7': 'The ribosome then moves down the strand of mRNA.', '1240, 5': 'The hot, pressurized gas moves to the condenser.', '141, 2': 'Your diaphragm moves down.', '141, 6': 'Your diaphragm moves back up.', '272, 3': 'A magnet moves near a wire.', '377, 7': 'The heart moves the blood throughout the body.', '397, 1': 'Wind passes the turbines and moves the blades.', '41, 6': 'The earth moves against itself on both sides of the cracks.', '43, 4': 'The water moves to the sky as steam or as invisible vapor.', '489, 7': 'The food moves to the small intestine.', '493, 3': 'The animal moves into their den.', '5, 9': 'Oil moves up through rock.', '502, 5': 'The car moves forward.', '509, 2': 'The piston moves upwards.', '509, 7': 'The piston moves upwards again.', '51, 1': ""Magma moves closer to the Earth's crust."", '514, 7': 'The glacier moves because of gravity.', '582, 1': 'Warm, moist air moves from south to north.', '582, 2': 'Cool, dry air moves from north to south.', '608, 3': 'The piston in the engine moves downwards compressing the air and fuel mixture.', '609, 1': 'The piston starts at the top, the intake valve opens, and the piston moves down to let the engine take in a cylinder-full of air and gasoline.', '609, 2': 'Then the piston moves back up to compress this fuel/air mixture.', '64, 5': 'The stream moves towards lower elevation.', '64, 8': 'The stream moves deeper into the soil.', '745, 3': 'The bee moves on to a different flower.', '772, 3': 'The air moves into the lungs.', '775, 3': ""Magma moves up through Earth's crust, but it does not always reach the surface."", '828, 7': 'The piston moves up.', '852, 2': 'The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.', '900, 5': 'The sound moves to the inner ear.', '905, 3': 'The esophagus moves food from the back of your throat to your stomach.', '905, 5': 'Your stomach moves the food into the intestines to complete digestion.', '919, 5': 'The energy moves through the Earth in the form of waves.', '923, 2': 'Oxygen moves from the lungs into the bloodstream.'}"
635,move,"{'1080, 5': 'The water is moving through pipes in the boiler.', '388, 3': 'The moving water spins the turbines in the power plant.', '463, 4': 'The tiny ice particle keeps moving up and down, gathering more ice on the surface.', '465, 1': 'Water gets caught in winds that are moving upward.', '502, 2': 'The energy is transferred from the pistons moving up and down at high speeds.', '671, 4': 'As the molecules are moving faster they are increasing in temperature.', '852, 7': 'A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.', '916, 7': 'The sediment keeps moving around the world in convection currents.', '922, 10': 'The magma results in a low-pressure, slow-moving flow of magma instead of a violent eruption.'}"
636,need,"{'1015, 1': 'To bake a cake you first need to gather your ingredients.', '483, 3': 'You write what you need to on the paper.', '548, 4': ""Waste or stuff your body doesn't need can be carried by bile back into the intestine or into the kidneys.""}"
